Thu Dec 19 21:29:18 2019
PARTITION        AVAIL  TIMELIMIT   JOB_SIZE ROOT OVERSUBS     GROUPS  NODES       STATE NODELIST
all                 up   infinite 1-infinite   no       NO     admins     18     drained e[0070,0073,0082,0089,0095,0100,0102,0242,0263,0361,0384,0505,0508,0777,0853-0854,0902,1000]
all                 up   infinite 1-infinite   no       NO     admins     76       idle~ e[0002,0133-0134,0519-0520,0838,0857-0861,0863-0865,0868,0870,0905,0908-0910,0913-0918,0920,0922,0926,0928-0936,0953-0967,1001-1002,1004-1005,1007,1009,1011,1013-1016,1072-1078,1080-1084]
all                 up   infinite 1-infinite   no       NO     admins      4    drained* e0001,phi[01-03]
all                 up   infinite 1-infinite   no       NO     admins      2    draining e[0237,0968]
all                 up   infinite 1-infinite   no       NO     admins    369       mixed e[0010-0015,0017,0022-0023,0041,0044-0045,0063,0065-0066,0068-0069,0071-0072,0075,0087,0090,0124,0131,0135-0141,0144-0148,0154-0156,0158,0160-0161,0163-0164,0167-0169,0172,0174,0178,0188,0190-0200,0203-0210,0213-0214,0217-0218,0220-0224,0228-0234,0240,0244,0246-0250,0253-0262,0264-0268,0270,0272-0273,0275,0278,0281-0282,0284-0285,0289,0293-0294,0296,0298-0299,0301,0303-0304,0306-0307,0309-0310,0312,0321,0329-0332,0334-0342,0345,0348,0350,0385,0388,0390,0408-0409,0426,0438,0441-0443,0445,0448-0451,0455-0457,0459-0464,0466-0469,0471-0473,0475-0479,0481-0482,0485-0488,0497,0506,0513,0515-0518,0521-0526,0530-0533,0535-0536,0538-0539,0542-0553,0560-0563,0565,0567,0570,0578-0579,0583-0587,0589-0593,0595,0597,0599-0600,0617-0627,0629-0630,0633-0648,0656,0682,0684,0720,0726,0735,0758,0760,0770,0774,0776,0778-0779,0787,0810,0817,0821,0823-0828,0847,0856,0862,0866-0867,0869,0871-0872,0878,0885-0886,0888-0901,0904,0906,0911-0912,0919,0921,0923-0925,0943,0946,0951-0952,0970,0975,0986,0991,0995,1006,1008,1010,1027,1031-1037,1039,1043-1048,1055,1062-1063,1079,1085-1087],gpu[01-03]
all                 up   infinite 1-infinite   no       NO     admins    600   allocated e[0003-0009,0016,0018-0021,0024-0040,0042-0043,0046-0062,0064,0067,0074,0076-0081,0083-0086,0088,0091-0094,0096-0099,0101,0103-0123,0125-0130,0132,0142-0143,0149-0153,0170-0171,0173,0175-0177,0179-0187,0189,0201-0202,0211-0212,0215-0216,0219,0225-0227,0235-0236,0238-0239,0241,0243,0245,0251-0252,0269,0271,0274,0276-0277,0279-0280,0283,0286-0288,0290-0292,0295,0297,0300,0302,0305,0308,0311,0313-0320,0322-0328,0333,0343-0344,0346-0347,0349,0351-0360,0362-0383,0386-0387,0389,0391-0407,0410-0425,0427-0437,0439-0440,0444,0446-0447,0452-0454,0458,0465,0470,0474,0480,0483-0484,0489-0496,0498-0504,0507,0509-0512,0514,0527-0529,0534,0537,0540-0541,0554-0559,0569,0571-0577,0580-0582,0588,0594,0596,0598,0601-0616,0628,0631-0632,0649-0655,0657-0681,0683,0685-0719,0721-0725,0727-0734,0736-0757,0759,0761-0769,0771-0773,0775,0780-0786,0788-0809,0811-0816,0818-0820,0822,0829-0832,0841-0846,0848-0852,0855,0873-0877,0879-0884,0887,0907,0927,0937-0942,0944-0945,0947-0950,0969,0971-0974,0976-0985,0987-0990,0992-0994,0996-0999,1003,1012,1017-1026,1028-1030,1038,1040-1042,1049-1054,1056-1061]
all                 up   infinite 1-infinite   no       NO     admins     24        idle e[0157,0159,0162,0165-0166,0564,0566,0568,0833-0837,0839-0840,0903,1064-1071]
interactive         up   10:00:00 1-infinite   no    YES:4 admins,sta      2       idle~ e[0133-0134]
standard*           up 7-00:00:00 1-infinite   no    YES:4 admins,sta     18     drained e[0070,0073,0082,0089,0095,0100,0102,0242,0263,0361,0384,0505,0508,0777,0853-0854,0902,1000]
standard*           up 7-00:00:00 1-infinite   no    YES:4 admins,sta     73       idle~ e[0519-0520,0838,0857-0861,0863-0865,0868,0870,0905,0908-0910,0913-0918,0920,0922,0926,0928-0936,0953-0967,1001-1002,1004-1005,1007,1009,1011,1013-1016,1072-1078,1080-1084]
standard*           up 7-00:00:00 1-infinite   no    YES:4 admins,sta      2    draining e[0237,0968]
