Fri Dec 20 08:47:36 2019
JOBID PARTITION NAME USER STATE TIME TIME_LIMI NODES NODELIST(REASON)
12649091 tesla 1.1_175 kkingsto PENDING 0:00 7-00:00:00 1 (Resources)
12649092 tesla 1.1_200 kkingsto PENDING 0:00 7-00:00:00 1 (Priority)
12659235 tesla h14-ghb plgksych PENDING 0:00 1-00:00:00 1 (Priority)
12750571 tesla amber18_ joannas3 PENDING 0:00 1-00:00:00 1 (Priority)
12649046 broadwell cu2s pr1s0163 PENDING 0:00 4-04:00:00 5 (PartitionTimeLimit)
12852739 tesla run_ac_f nozdi PENDING 0:00 7-00:00:00 1 (Priority)
12852740 tesla run_ac_f nozdi PENDING 0:00 7-00:00:00 1 (Priority)
12852741 tesla run_ac_s nozdi PENDING 0:00 7-00:00:00 1 (Priority)
12852743 tesla run_ac_s nozdi PENDING 0:00 7-00:00:00 1 (Priority)
12847844 tesla 3GHz mateusz. PENDING 0:00 20:00:00 1 (Priority)
12819822 fast e0066 scanya PENDING 0:00 1:00:00 1 (Resources)
12819823 fast e0067 scanya PENDING 0:00 1:00:00 1 (Resources)
12819824 fast e0070 scanya PENDING 0:00 1:00:00 1 (ReqNodeNotAvail, UnavailableNodes:e0070)
12819825 fast e0090 scanya PENDING 0:00 1:00:00 1 (Resources)
12819828 fast e0147 scanya PENDING 0:00 1:00:00 1 (Resources)
12819835 fast e0167 scanya PENDING 0:00 1:00:00 1 (Resources)
12819836 fast e0168 scanya PENDING 0:00 1:00:00 1 (Resources)
12819853 fast e0222 scanya PENDING 0:00 1:00:00 1 (Resources)
12819856 fast e0234 scanya PENDING 0:00 1:00:00 1 (Resources)
12819857 fast e0237 scanya PENDING 0:00 1:00:00 1 (ReqNodeNotAvail, UnavailableNodes:e0237)
12819858 fast e0242 scanya PENDING 0:00 1:00:00 1 (ReqNodeNotAvail, UnavailableNodes:e0242)
12819859 fast e0259 scanya PENDING 0:00 1:00:00 1 (Resources)
12819861 fast e0266 scanya PENDING 0:00 1:00:00 1 (Resources)
12819862 fast e0268 scanya PENDING 0:00 1:00:00 1 (Resources)
12819863 fast e0270 scanya PENDING 0:00 1:00:00 1 (Resources)
12819864 fast e0272 scanya PENDING 0:00 1:00:00 1 (Resources)
12819865 fast e0274 scanya PENDING 0:00 1:00:00 1 (Resources)
12819867 fast e0290 scanya PENDING 0:00 1:00:00 1 (Resources)
12819868 fast e0292 scanya PENDING 0:00 1:00:00 1 (Resources)
12819869 fast e0293 scanya PENDING 0:00 1:00:00 1 (Resources)
12819870 fast e0296 scanya PENDING 0:00 1:00:00 1 (Resources)
12819872 fast e0298 scanya PENDING 0:00 1:00:00 1 (Resources)
12819873 fast e0309 scanya PENDING 0:00 1:00:00 1 (Resources)
12819874 fast e0310 scanya PENDING 0:00 1:00:00 1 (Resources)
12819877 fast e0315 scanya PENDING 0:00 1:00:00 1 (Resources)
12819879 fast e0321 scanya PENDING 0:00 1:00:00 1 (Resources)
12819880 fast e0329 scanya PENDING 0:00 1:00:00 1 (Resources)
12819881 fast e0331 scanya PENDING 0:00 1:00:00 1 (Resources)
12819883 fast e0334 scanya PENDING 0:00 1:00:00 1 (Resources)
12819884 fast e0335 scanya PENDING 0:00 1:00:00 1 (Resources)
12819885 fast e0338 scanya PENDING 0:00 1:00:00 1 (Resources)
12819886 fast e0342 scanya PENDING 0:00 1:00:00 1 (Resources)
12819888 fast e0351 scanya PENDING 0:00 1:00:00 1 (Resources)
12819889 fast e0355 scanya PENDING 0:00 1:00:00 1 (Resources)
12819891 fast e0361 scanya PENDING 0:00 1:00:00 1 (ReqNodeNotAvail, UnavailableNodes:e0361)
12819892 fast e0362 scanya PENDING 0:00 1:00:00 1 (Resources)
12819893 fast e0363 scanya PENDING 0:00 1:00:00 1 (Resources)
12819894 fast e0365 scanya PENDING 0:00 1:00:00 1 (Resources)
12819895 fast e0368 scanya PENDING 0:00 1:00:00 1 (Resources)
12819896 fast e0371 scanya PENDING 0:00 1:00:00 1 (Resources)
12819897 fast e0376 scanya PENDING 0:00 1:00:00 1 (Resources)
12819898 fast e0378 scanya PENDING 0:00 1:00:00 1 (Resources)
12819899 fast e0380 scanya PENDING 0:00 1:00:00 1 (Resources)
12819900 fast e0381 scanya PENDING 0:00 1:00:00 1 (Resources)
12819902 fast e0386 scanya PENDING 0:00 1:00:00 1 (Resources)
12819903 fast e0387 scanya PENDING 0:00 1:00:00 1 (Resources)
12819905 fast e0393 scanya PENDING 0:00 1:00:00 1 (Resources)
12819906 fast e0394 scanya PENDING 0:00 1:00:00 1 (Resources)
12819907 fast e0396 scanya PENDING 0:00 1:00:00 1 (Resources)
12819908 fast e0400 scanya PENDING 0:00 1:00:00 1 (Resources)
